仕入先,出典ファイル,商品名_見積準拠,EEZO商品名,規格内容,温度帯,仕入単価_値,仕入単価_税区分,参考上代_値,参考上代_税区分,箱代等_値,箱代等_税区分,仕入送料区分,内容量,賞味期限,保存方法,発注ロット,リードタイム,JANコード,アレルゲン,産地,商品特徴,税率_明記,想定販売価格_税込,備考
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,ハムと香草のゼリー寄せ Jambon persillé,,90g,冷蔵,681,税抜,980,税込,,,産直別途,90g,製造後25日,要冷蔵（10℃以下）,,,4580578380439,,北海道,柔らかく煮込んだ豚足とすね肉のハムにイタリアンパセリをたっぷり混ぜ込んだ形豊かなテリーヌ。夏季限定商品,,,チルド送料は全国実費（送料見積表は未受領）。夏季限定商品
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,鶏砂肝のコンフィ Gésiers de volaille confit,,120g,冷蔵,750,税抜,1080,税込,,,産直別途,120g,製造後25日,要冷蔵（10℃以下）,,,4580578380200,,北海道,砂肝を柔らかなオイル煮に。黒胡椒とガーリックのフレーバー,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,豚バラ肉のパンチェッタ 北海道産 Pancetta,,100g,冷蔵,799,税抜,1150,税込,,,産直別途,100g,製造後25日,要冷蔵（10℃以下）,,,4580578380408,,北海道,北海道産豚バラ肉を塩と香辛料で1ヶ月熟成。ノンスモークなので素材の旨みがストレートに,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,バスク風ベーコン 北海道産豚バラベーコン Ventrèch,,100g,冷蔵,833,税抜,1200,税込,,,産直別途,100g,製造後25日,要冷蔵（10℃以下）,,,4580578380347,,北海道,燻製とパプリカ、ガーリックを巻き込み1ヶ月熟成。北海道産豚バラ肉のバスク風ベーコン,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,ストラスブールソーセージ Saucisse de strasbourg,,160g,冷蔵,833,税抜,1200,税込,,,産直別途,160g,製造後25日,要冷蔵（10℃以下）,,,4580578380064,,北海道,北海道産ポークとビーフを使用したセミドライソーセージ。ホットドッグやシュークルートと,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,仔羊のスパイスソーセージ Merguez,,145g,冷蔵,833,税抜,1200,税込,,,産直別途,145g,製造後25日,要冷蔵（10℃以下）,,,4580578380569,,北海道,北アフリカ由来のスパイスソーセージ。北海道産仔羊と蝦夷鹿肉を使用、トマト煮込みやクスクスと共に,,,チルド送料は全国実費（送料見積表は未受領）。現在原料未入荷の為、休止中
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,ブーダンブラン Boudin blanc,,160g,冷蔵,625,税抜,900,税込,,,産直別途,160g,製造後15日,要冷蔵（10℃以下）,,,4580578380088,,北海道,豚肉と牛乳、ハーブとオレンジピールの滑らかな食感の香り豊かなソーセージ,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,長期熟成サラミ Saucisson sec,,120g,冷蔵,1458,税抜,2100,税込,,,産直別途,120g,製造後50日,要冷蔵（10℃以下）,,,4580578380163,,北海道,徐々に溢れ出る旨みの熟成ドライソーセージ。生産量に限りがあるため欠品することがある,,,チルド送料は全国実費（送料見積表は未受領）。生産量に限りがあるため欠品することがある
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,長期熟成チョリソ CHORIZO,,120g,冷蔵,1458,税抜,2100,税込,,,産直別途,120g,製造後50日,要冷蔵（10℃以下）,,,4580578380170,,北海道,スパイスを効かせたスペインタイプのチョリソ。生産量に限りがあるため欠品することがある,,,チルド送料は全国実費（送料見積表は未受領）。生産量に限りがあるため欠品することがある
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,長期熟成フェンネルのサラミ Finocchiona,,120g,冷蔵,1458,税抜,2100,税込,,,産直別途,120g,製造後50日,要冷蔵（10℃以下）,,,4580578380187,,北海道,黄味やかなフェンネルシードが香るイタリアンタイプ。生産量に限りがあるため欠品することがある,,,チルド送料は全国実費（送料見積表は未受領）。生産量に限りがあるため欠品することがある
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,長期熟成 トリュフサラミ Saucisson sec Truffe,,100g,冷蔵,2014,税抜,2900,税込,,,産直別途,100g,製造後50日,要冷蔵（10℃以下）,,,4580578380606,,北海道,欧州産トリュフを練り込んだ香り高いサラミ。生産量に限りがあるため欠品することがある,,,チルド送料は全国実費（送料見積表は未受領）。生産量に限りがあるため欠品することがある
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,長期熟成サラミ3種の盛り合わせ CHORIZO/Saucisson sec/Finocchiona,,75g,冷蔵,1215,税抜,1750,税込,,,産直別途,75g,製造後30日,要冷蔵（10℃以下）,,,4580578380385,,北海道,それぞれに特徴ある味わいのサラミ3種の盛り合わせ。生産量に限りがあるため欠品することがある,,,チルド送料は全国実費（送料見積表は未受領）。生産量に限りがあるため欠品することがある
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,長期熟成生ハム 北海道産ポーク（ブラン） Jambon cru Blanc,,50g,冷蔵,799,税抜,1150,税込,,,産直別途,50g,製造後60日,要冷蔵（10℃以下）,,,4580578380095,,北海道,北海道産の豚肉を皮付きのまま12ヶ月以上熟成,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,長期熟成生ハム エニコウツ（ルージュ） Jambon cru Rouge,,50g,冷蔵,868,税抜,1250,税込,,,産直別途,50g,製造後60日,要冷蔵（10℃以下）,,,4580578380620,,北海道,赤身の旨味が際立つエニコウツ豚100%12ヶ月以上熟成,,,チルド送料は全国実費（送料見積表は未受領）。新規商品
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,長期熟成生ハム 江別黒豚（ノアール） Jambon cru Noir,,50g,冷蔵,938,税抜,1350,税込,,,産直別途,50g,製造後60日,要冷蔵（10℃以下）,,,4580578380118,,北海道,ロoピートの良い黒豚の旨みが特徴。穏やかなナッツ香12ヶ月以上熟成,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,24ヶ月長期熟成生ハム 北海道産ポーク（ブラン） Jambon sec blanc,,50g,冷蔵,938,税抜,1350,税込,,,産直別途,50g,製造後60日,要冷蔵（10℃以下）,,,4580578380453,,北海道,熟成感と凝縮感が楽しめる24ヶ月以上熟成の逸品。在庫なくなり次第終了,,,チルド送料は全国実費（送料見積表は未受領）。在庫なくなり次第終了
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,北海道産豚肩ロースの生ハム Coppa,,50g,冷蔵,868,税抜,1250,税込,,,産直別途,50g,製造後50日,要冷蔵（10℃以下）,,,4580578380613,,北海道,北海道産豚肩ロースを90日以上熟成させた生ハム。脂のサシが美しいさっぱりとした熟成肉の旨み,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,北海合鴨の生ハム Hokkaido canard séché,,35g,冷蔵,938,税抜,1350,税込,,,産直別途,35g,製造後50日,要冷蔵（10℃以下）,,,4580578380378,,北海道,白カビの風味が香る合鴨肉ならではの深い味わい。旨みの凝縮感が強い,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,トリッパのトマト煮込み Tripes à la niçoise,,200g,冷蔵,938,税抜,1350,税込,,,産直別途,200g,製造後25日,要冷蔵（10℃以下）,,,4580578380248,,北海道,ハーブ、塩・レモン・スパイスと共にじっくり煮込んだ逸品。ショートパスタのソースにも,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,鶏の赤ワイン煮込み Coq au vin,,200g,冷蔵,938,税抜,1350,税込,,,産直別途,200g,製造後25日,要冷蔵（10℃以下）,,,4580578380132,,北海道,道産鶏の赤ワイン煮込み。赤ワインとベーコンによる滋味深い味わい,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,自家製シュークルート Choucroute,,180g,常温,611,税抜,880,税込,,,産直別途,180g,製造後360日,常温,,,4580578380309,,北海道,北海道産キャベツ使用。ソーセージやカレー煮込みの付け合わせに,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,季節野菜のピクルス Pickles de légumes,,120g,常温,681,税抜,980,税込,,,産直別途,120g,製造後360日,常温,,,4580578380354,,北海道,地野菜を使用したピクルス。野菜の種類は都度変わります,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,キノコのマリネ Champignons au vinaigre,,120g,常温,681,税抜,980,税込,,,産直別途,120g,製造後270日,常温,,,4580578380262,,北海道,北海道産のきのこの旨みを凝縮したにんにくと白ワインビネガーの風味でやさしいマリネ,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,キャロットラペ Carottes râpées,,120g,常温,542,税抜,780,税込,,,産直別途,120g,製造後270日,常温,,,4580578380279,,北海道,定番の人参のマリネをオレンジの風味で,,,チルド送料は全国実費（送料見積表は未受領）
シャルキュトリーアカイシ,新日本海商事様価格改定.pdf,自家製 粗挽きマスタード Moutarde maison,,120g,常温,611,税抜,880,税込,,,産直別途,120g,製造後180日,常温,,,4580578380293,,北海道,北海道の米麹と合わせた粗挽きマスタード,,,チルド送料は全国実費（送料見積表は未受領）
